time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-30T00:10:41.723Z,60.897,-149.5694,29.7,1.6,ml,,,,0.49,ak,ak18827405,2018-03-30T00:17:00.794Z,"39km SSE of Anchorage, Alaska",earthquake,,0.1,,,automatic,ak,ak
2018-03-30T00:04:46.250Z,38.824501,-122.7983322,2.48,0.89,md,12,75,0.009238,0.02,nc,nc72991400,2018-03-30T00:16:03.874Z,"6km NW of The Geysers, CA",earthquake,0.25,0.58,0.04,4,automatic,nc,nc
2018-03-30T00:03:30.132Z,62.8542,-145.0359,0,2,ml,,,,1.03,ak,ak18827386,2018-03-30T00:17:00.533Z,"87km NNE of Glennallen, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-03-29T23:55:37.180Z,18.03,-68.1463,55,4.01,md,21,193,0.538,0.52,pr,pr2018088003,2018-03-30T00:26:57.523Z,"73km SE of Punta Cana, Dominican Republic",earthquake,1.98,3.43,0.43,16,reviewed,pr,pr
2018-03-29T23:49:32.430Z,19.1988335,-155.5164948,35.58,2.03,md,41,138,0.05199,0.15,hv,hv70065656,2018-03-29T23:52:51.750Z,"3km W of Pahala, Hawaii",earthquake,0.58,1.25,0.15,11,automatic,hv,hv
2018-03-29T23:46:45.010Z,62.2762,-150.9036,60.1,1.9,ml,,,,0.45,ak,ak18827360,2018-03-29T23:58:47.112Z,"41km W of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-03-29T23:32:35.750Z,34.0453333,-117.2348333,16.02,1.26,ml,47,52,0.07196,0.13,ci,ci37902471,2018-03-29T23:47:57.253Z,"2km E of Loma Linda, CA",earthquake,0.19,0.3,0.187,23,reviewed,ci,ci
2018-03-29T23:24:44.260Z,38.6761,69.9618,10,4.7,mb,,33,0.425,1,us,us1000db6f,2018-03-29T23:50:39.510Z,"14km SSE of Roghun, Tajikistan",earthquake,3.3,1.8,0.059,87,reviewed,us,us
2018-03-29T23:17:32.780Z,36.4008,140.734,41.13,5,mwr,,118,1.466,1.39,us,us1000db68,2018-03-30T00:22:58.424Z,"15km NE of Oarai, Japan",earthquake,6.4,5.6,0.071,19,reviewed,us,us
2018-03-29T23:15:17.970Z,39.538,-121.498,-0.2,0.69,md,6,132,0.01659,0.1,nc,nc72991385,2018-03-30T00:04:34.039Z,"4km NNW of Oroville East, CA",chemical explosion,0.91,31.61,0.343,5,reviewed,nc,nc
2018-03-29T22:54:12.880Z,38.7406,69.9547,3.62,5.6,mb,,22,0.382,1.14,us,us1000db5t,2018-03-29T23:20:27.895Z,"8km ESE of Roghun, Tajikistan",earthquake,4,3.3,0.031,369,reviewed,us,us
2018-03-29T22:51:24.260Z,-5.9846,151.8545,35,5.3,mb,,42,5.947,0.82,us,us1000db5u,2018-03-29T23:04:20.040Z,"186km SSW of Kokopo, Papua New Guinea",earthquake,8.3,2,0.076,58,reviewed,us,us
2018-03-29T22:27:40.140Z,-3.7257,151.1156,23.61,4.9,mb,,90,4.1,0.98,us,us1000db5l,2018-03-29T22:51:37.040Z,"128km WNW of Rabaul, Papua New Guinea",earthquake,8.9,3.9,0.054,108,reviewed,us,us
